Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
left_elbow_link,0.0633410952531572,0.0235885441362654,-0.00754298977700368,0,0,0,0.253207688410529,7.11959856010146E-05,2.76828646809317E-06,1.22337890731716E-05,0.000200203863820205,-3.47397068953958E-07,0.00018074001685147,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_elbow_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_elbow_link.STL,,left_elbow_link-1,left_elbow_cs,left_elbow_axis,left_elbow_joint,revolute,0.0075,0,-0.1019,0,0,0,left_shoulder_yaw_link,0,1,0,0,0,0,0,,,,,,,,
left_wrist_roll_link,0.0712483721983794,-1.71923055764522E-05,-0.00191700125074331,0,0,0,0.38307122504563,0.000140199670953772,-4.21546030512378E-08,9.81341166259803E-07,0.000293059321452903,1.23592002493774E-09,0.000387530412420268,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_wrist_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_wrist_roll_link.STL,,left_wrist_roll_link-1,left_wrist_roll_cs,left_wrist_roll_axis,left_wrist_roll_joint,revolute,0.1,0.0019,-0.009,0,0,0,left_elbow_link,1,0,0,0,0,0,0,,,,,,,,
left_wrist_yaw_link,0.0459422260469032,0.00202198675698856,-0.00614251375673091,0,0,0,0.14755456367638,4.75811132409689E-05,1.23233513999198E-06,-1.71485859824418E-05,9.12787489032757E-05,8.88646885901046E-07,6.2823311198467E-05,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_wrist_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_wrist_yaw_link.STL,,left_wrist_yaw_link-3,left_wrist_yaw_cs,right_wrist_yaw_axis,left_wrist_yaw_joint,revolute,0.1135,0,0,0,0,0,left_wrist_roll_link,0,0,1,0,0,0,0,,,,,,,,
left_wrist_pitch_link,0.0330517081472861,0.0138829418840942,0.000464357538078154,0,0,0,0.0449885552534182,2.06665952681622E-05,6.54636428123557E-06,-2.04187095176895E-07,2.25307918471128E-05,3.21068722596719E-07,2.90723199000126E-05,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_wrist_pitch_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_wrist_pitch_link.STL,,left_wrist_pitch_link-3/末端法兰短-1,left_wrist_pitch_cs,left_wrist_pitch_axis,left_wrist_pitch_joint,revolute,0.054,0,0,0,0,0,left_wrist_yaw_link,0,1,0,0,0,0,0,,,,,,,,
left_hand_link,0.0683546411664485,-0.0081281163255878,0.0100020402299354,0,0,0,0.0799563123727852,1.61452905582842E-05,8.74391706960856E-07,-1.55666706691613E-06,2.84789524899027E-05,1.4752682377012E-06,2.29911686437626E-05,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_hand_link.STL,1,1,1,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/left_hand_link.STL,,left_wrist_pitch_link-3/BrainCo_Revo2_Basic Hand_3D_left-1,left_hand_cs,left_hand_axis,left_hand_joint,fixed,0.052,0,0.001,0,0,0,left_wrist_pitch_link,0,0,0,,,,,,,,,,,,
right_shoulder_pitch_link,0.00394285011640244,-0.0434372992042771,6.55623691603324E-06,0,0,0,0.279365128843009,0.000185431334834363,1.39042346921537E-06,-1.6088492346777E-07,0.000161388624590049,-6.80062957704907E-08,0.000171066454417156,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_shoulder_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_shoulder_pitch_link.STL,,right_shoulder_pitch_link-1,right_shoulder_pitch_cs,right_shoulder_pitch_axis,right_shoulder_pitch_joint,revolute,0,-0.1446,0.3935,0,0,0,waist_pitch_link,0,1,0,0,0,0,0,,,,,,,,
right_shoulder_roll_link,0.0161972616830831,-3.24849418081585E-05,-0.0683874165882234,0,0,0,0.302733494249642,0.000236349396071514,2.71020396518783E-07,-4.80892642732939E-05,0.000261304630399445,8.14745335006691E-08,0.000232799896796055,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_shoulder_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_shoulder_roll_link.STL,,right_shoulder_roll_link-1,right_shoulder_roll_cs,right_shoulder_roll_axis,right_shoulder_roll_joint,revolute,0,-0.047,0,0,0,0,right_shoulder_pitch_link,1,0,0,0,0,0,0,,,,,,,,
right_shoulder_yaw_link,0.00423809458619284,-0.00278824251427187,-0.0739211879085838,0,0,0,0.406150852278069,0.000474570193838243,-6.43612370126186E-07,2.72834971718552E-05,0.000584947792297794,3.97733637102949E-06,0.000210866854693087,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_shoulder_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_shoulder_yaw_link.STL,,right_shoulder_yaw_link-1,right_shoulder_yaw_cs,right_shoulder_yaw_axis,right_shoulder_yaw_joint,revolute,-0.00072034,0,-0.1346,0,0,0,right_shoulder_roll_link,0,0,1,0,0,0,0,,,,,,,,
right_elbow_link,0.0620601993547541,-0.0241495727372978,-0.00739233475396495,0,0,0,0.258367894451638,7.18603387088805E-05,-2.76030465744456E-06,1.22339438232165E-05,0.000201382936372812,3.47229995216399E-07,0.000181341437724767,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_elbow_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_elbow_link.STL,,right_elbow_link-1,right_elbow_cs,right_elbow_axis,right_elbow_joint,revolute,0.0075,0,-0.1019,0,0,0,right_shoulder_yaw_link,0,1,0,0,0,0,0,,,,,,,,
right_wrist_roll_link,0.071267072852938,2.87739723443137E-05,-0.0019166023580561,0,0,0,0.383396843993603,0.000140202878062354,4.10653357799019E-08,9.81339152387995E-07,0.000293062345472018,-1.28048127555169E-09,0.000387530798439186,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_wrist_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_wrist_roll_link.STL,,right_wrist_roll_link-1,right_wrist_roll_cs,right_wrist_roll_axis,right_wrist_roll_joint,revolute,0.1,-0.0019,-0.009,0,0,0,right_elbow_link,1,0,0,0,0,0,0,,,,,,,,
right_wrist_yaw_link,0.0461230431597656,-0.00205394829287704,-0.00597459032579089,0,0,0,0.14755183600849,4.75901149880441E-05,-1.23751281701738E-06,-1.71547173418788E-05,9.1275835223647E-05,-8.91262046119607E-07,6.28665608016308E-05,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_wrist_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_wrist_yaw_link.STL,,right_wrist_yaw_link-4,right_wrist_yaw_cs,right_wrist_yaw_axis,right_wrist_yaw_joint,revolute,0.1135,0,0,0,0,0,right_wrist_roll_link,0,0,1,0,0,0,0,,,,,,,,
right_wrist_pitch_link,0.0330517173300813,-0.0138829213950711,0.000464357688752089,0,0,0,0.0449886361994226,2.06666314284779E-05,-6.54637169841622E-06,-2.0418692085551E-07,2.25308091811084E-05,-3.21069169447688E-07,2.90723512746476E-05,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_wrist_pitch_link.STL,1,1,1,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_wrist_pitch_link.STL,,right_wrist_pitch_link-3/镜向末端法兰短-1,right_wrist_pitch_cs,right_wrist_pitch_axis,right_wrist_pitch_joint,revolute,0.054,0,0,0,0,0,right_wrist_yaw_link,0,1,0,0,0,0,0,,,,,,,,
right_hand_link,0.0660873577877351,0.00813588384557263,0.0269486038626184,0,0,0,0.0799307695894704,1.61105895121169E-05,-8.59712876317433E-07,-1.55706493404117E-06,2.84447148942828E-05,-1.47562237767833E-06,2.29213318262067E-05,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_hand_link.STL,1,1,1,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/right_hand_link.STL,,right_wrist_pitch_link-3/右手BrainCo_Revo2_Basic Hand_3D_left-1,right_hand_cs,right_hand_axis,right_hand_joint,fixed,0.054287,0,-0.01594,0,0,0,right_wrist_pitch_link,0,0,0,,,,,,,,,,,,
imu_link,0.11757656800343,3.83581675578171E-06,0.0582428190144442,0,0,0,49.1645088921546,7.25827446948013,0.000120829639061488,-0.181985725481132,6.89794780236044,0.000415159977296785,1.03690640492191,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/imu_link.STL,1,1,1,1,0,0,0,0,0,0,package://v1.1_Whole_u4.0_0304/meshes/imu_link.STL,,,imu_cs,imu_z,imu_joint,fixed,-0.09835,0,-0.052,0,0,0,base_link,0,0,0,,,,,,,,,,,,
